city,value
Adana,55018
Adıyaman,18780
Afyonkarahisar,23667
Aksaray,14264
Amasya,15217
Ankara,189104
Antalya,92004
Ardahan,5391
Artvin,9983
Aydın,45705
Ağrı,16871
Balıkesir,49652
Bartın,9990
Batman,20528
Bayburt,7031
Bilecik,12078
Bingöl,11900
Bitlis,15111
Bolu,15750
Burdur,14684
Bursa,90863
Denizli,29528
Diyarbakır,45963
Düzce,17049
Edirne,19699
Elazığ,21060
Erzincan,15946
Erzurum,26629
Eskişehir,37278
Gaziantep,50192
Giresun,20947
Gümüşhane,11496
Hakkari,9783
Hatay,39530
Isparta,20948
Iğdır,9827
Kahramanmaraş,29319
Karabük,13801
Karaman,11387
Kars,11568
Kastamonu,19960
Kayseri,38374
Kilis,8008
Kocaeli,89685
Konya,57578
Kütahya,20014
Kırklareli,18230
Kırıkkale,14645
Kırşehir,13231
Malatya,28684
Manisa,43466
Mardin,28747
Mersin,60984
Muğla,49179
Muş,13847
Nevşehir,12803
Niğde,15801
Ordu,28878
Osmaniye,20565
Rize,14716
Sakarya,41396
Samsun,48681
Siirt,12356
Sinop,14155
Sivas,24583
Tekirdağ,63354
Tokat,28325
Trabzon,28168
Tunceli,8081
Uşak,13255
Van,33903
Yalova,18466
Yozgat,19580
Zonguldak,20334
Çanakkale,27747
Çankırı,13649
Çorum,18723
İstanbul,385294
İzmir,132426
Şanlıurfa,45648
Şırnak,20096
